assetId,category,entityName,usage,priority,currentState,mockImplementation,targetFilePath,fileFormat,width,height,transparentBackground,cameraAngle,requiredDirections,frameCount,anchorX,anchorY,atlasGroup,mobileReadabilityNotes,styleNotes,promptSubjectNotes,negativeRequirements,replacementInstructions
"""hero.grilled_chicken.portrait""","""hero""","""Grilled Chicken Executioner""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/grilled_chicken/portrait.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Grilled Chicken Executioner design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/grilled_chicken/portrait.webp; retain this Asset ID and registry entry."""
"""hero.grilled_chicken.icon""","""hero""","""Grilled Chicken Executioner""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/grilled_chicken/icon.webp""","""webp""","128","128","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Grilled Chicken Executioner design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/grilled_chicken/icon.webp; retain this Asset ID and registry entry."""
"""hero.grilled_chicken.collection_card""","""hero""","""Grilled Chicken Executioner""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/grilled_chicken/collection_card.webp""","""webp""","640","800","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Grilled Chicken Executioner design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/grilled_chicken/collection_card.webp; retain this Asset ID and registry entry."""
"""hero.grilled_chicken.world""","""hero""","""Grilled Chicken Executioner""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P1""","""mock""","""CSS shape and project-authored glyph""","""/assets/game/heroes/grilled_chicken/world.webp""","""webp""","96","96","true","""orthographic three-quarter top-down""","[""right""]","1","0.5","0.82","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Grilled Chicken Executioner design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/game/heroes/grilled_chicken/world.webp; retain this Asset ID and registry entry."""
"""hero.grilled_chicken.silhouette""","""hero""","""Grilled Chicken Executioner""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P2""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/grilled_chicken/silhouette.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Grilled Chicken Executioner design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/grilled_chicken/silhouette.webp; retain this Asset ID and registry entry."""
"""hero.pink_chocolate_lizard.portrait""","""hero""","""Pink Chocolate-Dipped Lizard""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/pink_chocolate_lizard/portrait.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Pink Chocolate-Dipped Lizard design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/pink_chocolate_lizard/portrait.webp; retain this Asset ID and registry entry."""
"""hero.pink_chocolate_lizard.icon""","""hero""","""Pink Chocolate-Dipped Lizard""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/pink_chocolate_lizard/icon.webp""","""webp""","128","128","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Pink Chocolate-Dipped Lizard design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/pink_chocolate_lizard/icon.webp; retain this Asset ID and registry entry."""
"""hero.pink_chocolate_lizard.collection_card""","""hero""","""Pink Chocolate-Dipped Lizard""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/pink_chocolate_lizard/collection_card.webp""","""webp""","640","800","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Pink Chocolate-Dipped Lizard design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/pink_chocolate_lizard/collection_card.webp; retain this Asset ID and registry entry."""
"""hero.pink_chocolate_lizard.world""","""hero""","""Pink Chocolate-Dipped Lizard""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P1""","""mock""","""CSS shape and project-authored glyph""","""/assets/game/heroes/pink_chocolate_lizard/world.webp""","""webp""","96","96","true","""orthographic three-quarter top-down""","[""right""]","1","0.5","0.82","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Pink Chocolate-Dipped Lizard design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/game/heroes/pink_chocolate_lizard/world.webp; retain this Asset ID and registry entry."""
"""hero.pink_chocolate_lizard.silhouette""","""hero""","""Pink Chocolate-Dipped Lizard""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P2""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/pink_chocolate_lizard/silhouette.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Pink Chocolate-Dipped Lizard design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/pink_chocolate_lizard/silhouette.webp; retain this Asset ID and registry entry."""
